Entry	Entry Name	Organism	Length	Gene Names (primary)	Protein families
A2RU14	TM218_HUMAN	Homo sapiens (Human)	115	TMEM218	TMEM218 family
A2RU30	TESP1_HUMAN	Homo sapiens (Human)	521	TESPA1	
A2RU49	HYKK_HUMAN	Homo sapiens (Human)	373	HYKK	Aminoglycoside phosphotransferase family
A2RUB1	MEIOC_HUMAN	Homo sapiens (Human)	952	MEIOC	
A2RUB6	CCD66_HUMAN	Homo sapiens (Human)	948	CCDC66	
A2RUC4	TYW5_HUMAN	Homo sapiens (Human)	315	TYW5	TYW5 family
A2RUH7	MBPHL_HUMAN	Homo sapiens (Human)	354	MYBPHL	Immunoglobulin superfamily
A2VDJ0	T131L_HUMAN	Homo sapiens (Human)	1609	TMEM131L	TMEM131 family
A2VEC9	SSPO_HUMAN	Homo sapiens (Human)	5150	SSPOP	Thrombospondin family
A3KMH1	VWA8_HUMAN	Homo sapiens (Human)	1905	VWA8	
A4D0S4	LAMB4_HUMAN	Homo sapiens (Human)	1761	LAMB4	
A4D126	ISPD_HUMAN	Homo sapiens (Human)	451	CRPPA	IspD/TarI cytidylyltransferase family
A4D161	F221A_HUMAN	Homo sapiens (Human)	298	FAM221A	FAM221 family
A4D1B5	GSAP_HUMAN	Homo sapiens (Human)	854	GSAP	GSAP family
A4D1E9	GTPBA_HUMAN	Homo sapiens (Human)	387	GTPBP10	TRAFAC class OBG-HflX-like GTPase superfamily
A4D1P6	WDR91_HUMAN	Homo sapiens (Human)	747	WDR91	WD repeat WDR91 family
A4D1T9	PRS37_HUMAN	Homo sapiens (Human)	235	PRSS37	Peptidase S1 family
A4D256	CC14C_HUMAN	Homo sapiens (Human)	447	CDC14C	Protein-tyrosine phosphatase family
A4D2B0	MBLC1_HUMAN	Homo sapiens (Human)	266	MBLAC1	Metallo-beta-lactamase superfamily
A4D2B8	PM2P1_HUMAN	Homo sapiens (Human)	440	PMS2P1	DNA mismatch repair MutL/HexB family
A4GXA9	EME2_HUMAN	Homo sapiens (Human)	379	EME2	EME1/MMS4 family
A4UGR9	XIRP2_HUMAN	Homo sapiens (Human)	3374	XIRP2	Xin family
A5D8T8	CL18A_HUMAN	Homo sapiens (Human)	446	CLEC18A	
A5D8V6	VP37C_HUMAN	Homo sapiens (Human)	355	VPS37C	VPS37 family
A5D8V7	ODAD3_HUMAN	Homo sapiens (Human)	595	ODAD3	
A5D8W1	CFA69_HUMAN	Homo sapiens (Human)	941	CFAP69	
A5LHX3	PSB11_HUMAN	Homo sapiens (Human)	300	PSMB11	Peptidase T1B family
A5PKW4	PSD1_HUMAN	Homo sapiens (Human)	1024	PSD	PSD family
A5PLL7	PDES1_HUMAN	Homo sapiens (Human)	270	PEDS1	Fatty acid desaturase CarF family
A5X5Y0	5HT3E_HUMAN	Homo sapiens (Human)	456	HTR3E	Ligand-gated ion channel (TC 1.A.9) family
A5YKK6	CNOT1_HUMAN	Homo sapiens (Human)	2376	CNOT1	CNOT1 family
A5YM72	CRNS1_HUMAN	Homo sapiens (Human)	827	CARNS1	
A6BM72	MEG11_HUMAN	Homo sapiens (Human)	1044	MEGF11	MEGF family
A6H8Y1	BDP1_HUMAN	Homo sapiens (Human)	2624	BDP1	
A6H8Z2	F221B_HUMAN	Homo sapiens (Human)	402	FAM221B	FAM221 family
A6NC98	CC88B_HUMAN	Homo sapiens (Human)	1476	CCDC88B	CCDC88 family
A6NCS4	NKX26_HUMAN	Homo sapiens (Human)	301	NKX2-6	NK-2 homeobox family
A6ND01	JUNO_HUMAN	Homo sapiens (Human)	250	IZUMO1R	Folate receptor family
A6ND36	FA83G_HUMAN	Homo sapiens (Human)	823	FAM83G	FAM83 family
A6NDB9	PALM3_HUMAN	Homo sapiens (Human)	673	PALM3	Paralemmin family
A6NDE4	RBY1B_HUMAN	Homo sapiens (Human)	496	RBMY1B	
A6NDG6	PGP_HUMAN	Homo sapiens (Human)	321	PGP	HAD-like hydrolase superfamily
A6NDV4	TMM8B_HUMAN	Homo sapiens (Human)	472	TMEM8B	TMEM8 family
A6NED2	RCCD1_HUMAN	Homo sapiens (Human)	376	RCCD1	
A6NEM1	GG6L9_HUMAN	Homo sapiens (Human)	432	GOLGA6L9	GOLGA6 family
A6NFA1	TIKI2_HUMAN	Homo sapiens (Human)	517	TRABD2B	TIKI family
A6NFQ2	TCAF2_HUMAN	Homo sapiens (Human)	919	TCAF2	TCAF family
A6NFX1	MFS2B_HUMAN	Homo sapiens (Human)	504	MFSD2B	Major facilitator superfamily
A6NFY7	SDHF1_HUMAN	Homo sapiens (Human)	115	SDHAF1	Complex I LYR family
A6NGG8	PCARE_HUMAN	Homo sapiens (Human)	1288	PCARE	
A6NGQ2	OOEP_HUMAN	Homo sapiens (Human)	149	OOEP	KHDC1 family
A6NGU5	GGT3_HUMAN	Homo sapiens (Human)	568	GGT3P	Gamma-glutamyltransferase family
A6NHL2	TBAL3_HUMAN	Homo sapiens (Human)	446	TUBAL3	Tubulin family
A6NHR9	SMHD1_HUMAN	Homo sapiens (Human)	2005	SMCHD1	SMC family
A6NI15	MSGN1_HUMAN	Homo sapiens (Human)	193	MSGN1	
A6NI61	MYMK_HUMAN	Homo sapiens (Human)	221	MYMK	TMEM8 family
A6NI73	LIRA5_HUMAN	Homo sapiens (Human)	299	LILRA5	
A6NIH7	U119B_HUMAN	Homo sapiens (Human)	251	UNC119B	PDE6D/unc-119 family
A6NIX2	WTIP_HUMAN	Homo sapiens (Human)	430	WTIP	Zyxin/ajuba family
A6NJ46	NKX63_HUMAN	Homo sapiens (Human)	265	NKX6-3	
A6NJ78	MET15_HUMAN	Homo sapiens (Human)	407	METTL15	Methyltransferase superfamily
A6NK06	IRG1_HUMAN	Homo sapiens (Human)	481	ACOD1	PrpD family
A6NK58	LIPT2_HUMAN	Homo sapiens (Human)	231	LIPT2	LipB family
A6NK89	RASFA_HUMAN	Homo sapiens (Human)	507	RASSF10	
A6NKB5	PCX2_HUMAN	Homo sapiens (Human)	2137	PCNX2	Pecanex family
A6NL88	SHSA7_HUMAN	Homo sapiens (Human)	538	SHISA7	Shisa family
A6NMY6	AXA2L_HUMAN	Homo sapiens (Human)	339	ANXA2P2	Annexin family
A6NMZ7	CO6A6_HUMAN	Homo sapiens (Human)	2263	COL6A6	Type VI collagen family
A6NNB3	IFM5_HUMAN	Homo sapiens (Human)	132	IFITM5	CD225/Dispanin family
A6NNM8	TTL13_HUMAN	Homo sapiens (Human)	815	TTLL13	Tubulin--tyrosine ligase family
A6NNY8	UBP27_HUMAN	Homo sapiens (Human)	438	USP27X	Peptidase C19 family
A6NNZ2	TBB8B_HUMAN	Homo sapiens (Human)	444	TUBB8B	Tubulin family
A6PVC2	TTLL8_HUMAN	Homo sapiens (Human)	850	TTLL8	
A7E2V4	ZSWM8_HUMAN	Homo sapiens (Human)	1837	ZSWIM8	ZSWIM8 family
A7E2Y1	MYH7B_HUMAN	Homo sapiens (Human)	1983	MYH7B	TRAFAC class myosin-kinesin ATPase superfamily
A7KAX9	RHG32_HUMAN	Homo sapiens (Human)	2087	ARHGAP32	PX domain-containing GAP family
A7MCY6	TBKB1_HUMAN	Homo sapiens (Human)	615	TBKBP1	
A7MD48	SRRM4_HUMAN	Homo sapiens (Human)	611	SRRM4	NSR100 family
A7XYQ1	SOBP_HUMAN	Homo sapiens (Human)	873	SOBP	SOBP family
A8CG34	P121C_HUMAN	Homo sapiens (Human)	1229	POM121C	POM121 family
A8K0Z3	WASH1_HUMAN	Homo sapiens (Human)	465	WASHC1	WASH1 family
A8K2U0	A2ML1_HUMAN	Homo sapiens (Human)	1454	A2ML1	Protease inhibitor I39 (alpha-2-macroglobulin) family
A8K4G0	CLM7_HUMAN	Homo sapiens (Human)	201	CD300LB	CD300 family
A8K7I4	CLCA1_HUMAN	Homo sapiens (Human)	914	CLCA1	CLCR family
A8K830	OCAT2_HUMAN	Homo sapiens (Human)	251	POU2AF3	POU2AF family
A8K8P3	SFI1_HUMAN	Homo sapiens (Human)	1242	SFI1	SFI1 family
A8K8V0	ZN785_HUMAN	Homo sapiens (Human)	405	ZNF785	Krueppel C2H2-type zinc-finger protein family
A8MPY1	GBRR3_HUMAN	Homo sapiens (Human)	467	GABRR3	Ligand-gated ion channel (TC 1.A.9) family
A8MQ03	CRTP1_HUMAN	Homo sapiens (Human)	144	CYSRT1	CYSRT1 family
A8MQ27	NEU1B_HUMAN	Homo sapiens (Human)	555	NEURL1B	
A8MT69	CENPX_HUMAN	Homo sapiens (Human)	81	CENPX	CENP-X/MHF2 family
A8MTA8	F166B_HUMAN	Homo sapiens (Human)	275	FAM166B	UPF0605 family
A8MTJ3	GNAT3_HUMAN	Homo sapiens (Human)	354	GNAT3	G-alpha family
A8MTQ0	NOTO_HUMAN	Homo sapiens (Human)	251	NOTO	
A8MTZ0	BBIP1_HUMAN	Homo sapiens (Human)	92	BBIP1	BBIP10 family
A8MU46	SMTL1_HUMAN	Homo sapiens (Human)	494	SMTNL1	Smoothelin family
A8MUP2	CSKMT_HUMAN	Homo sapiens (Human)	240	CSKMT	Methyltransferase superfamily
A8MV65	VGLL3_HUMAN	Homo sapiens (Human)	326	VGLL3	Vestigial family
A8MVW5	HECA2_HUMAN	Homo sapiens (Human)	462	HEPACAM2	
A8MW95	BECN2_HUMAN	Homo sapiens (Human)	431	BECN2	Beclin family
A8MW99	MEI4_HUMAN	Homo sapiens (Human)	385	MEI4	MEI4L family
A8MXD5	GRCR1_HUMAN	Homo sapiens (Human)	290	GRXCR1	GRXCR1 family
A8MXV4	NUD19_HUMAN	Homo sapiens (Human)	375	NUDT19	Nudix hydrolase family
A8MYU2	KCNU1_HUMAN	Homo sapiens (Human)	1149	KCNU1	Potassium channel family
A8MZ59	LEUTX_HUMAN	Homo sapiens (Human)	198	LEUTX	Paired homeobox family
A8TX70	CO6A5_HUMAN	Homo sapiens (Human)	2615	COL6A5	Type VI collagen family
A9UHW6	MI4GD_HUMAN	Homo sapiens (Human)	222	MIF4GD	MIF4GD family
A9YTQ3	AHRR_HUMAN	Homo sapiens (Human)	701	AHRR	
B0I1T2	MYO1G_HUMAN	Homo sapiens (Human)	1018	MYO1G	TRAFAC class myosin-kinesin ATPase superfamily
B0L3A2	DEAR_HUMAN	Homo sapiens (Human)	85	FBXW7-AS1	
B0YJ81	HACD1_HUMAN	Homo sapiens (Human)	288	HACD1	Very long-chain fatty acids dehydratase HACD family
B1AK53	ESPN_HUMAN	Homo sapiens (Human)	854	ESPN	
B2RTY4	MYO9A_HUMAN	Homo sapiens (Human)	2548	MYO9A	TRAFAC class myosin-kinesin ATPase superfamily
B2RUY7	VWC2L_HUMAN	Homo sapiens (Human)	222	VWC2L	
B2RUZ4	SMIM1_HUMAN	Homo sapiens (Human)	78	SMIM1	SMIM1 family
B2RXF5	ZBT42_HUMAN	Homo sapiens (Human)	422	ZBTB42	Krueppel C2H2-type zinc-finger protein family
B2RXH2	KDM4E_HUMAN	Homo sapiens (Human)	506	KDM4E	JHDM3 histone demethylase family
B3KU38	IQIP1_HUMAN	Homo sapiens (Human)	563	IQCJ-SCHIP1	
B6A8C7	TARM1_HUMAN	Homo sapiens (Human)	271	TARM1	
B7U540	KCJ18_HUMAN	Homo sapiens (Human)	433	KCNJ18	Inward rectifier-type potassium channel (TC 1.A.2.1) family
B7ZAQ6	GPHRA_HUMAN	Homo sapiens (Human)	455	GPR89A	Golgi pH regulator (TC 1.A.38) family
C4AMC7	WASH3_HUMAN	Homo sapiens (Human)	463	WASH3P	WASH1 family
C9JE40	PATL2_HUMAN	Homo sapiens (Human)	543	PATL2	PAT1 family
C9JLW8	MCRI1_HUMAN	Homo sapiens (Human)	97	MCRIP1	MCRIP family
C9JR72	KBTBD_HUMAN	Homo sapiens (Human)	458	KBTBD13	
C9JRZ8	AK1BF_HUMAN	Homo sapiens (Human)	316	AKR1B15	Aldo/keto reductase family
D3W0D1	KLRF2_HUMAN	Homo sapiens (Human)	207	KLRF2	
D6RGH6	MCIN_HUMAN	Homo sapiens (Human)	385	MCIDAS	Geminin family
E0CX11	STMP1_HUMAN	Homo sapiens (Human)	47	STMP1	STMP1 family
F5H094	SO1BT_HUMAN	Homo sapiens (Human)	687	SLCO1B3-SLCO1B7	Organo anion transporter (TC 2.A.60) family
G2XKQ0	SUMO5_HUMAN	Homo sapiens (Human)	101	SUMO1P1	Ubiquitin family
H0YL14	TM250_HUMAN	Homo sapiens (Human)	139	TMEM250	
K7EJ46	SIM22_HUMAN	Homo sapiens (Human)	83	SMIM22	
K9M1U5	IFNL4_HUMAN	Homo sapiens (Human)	179	IFNL4	Lambda interferon family
M0R2J8	DCDC1_HUMAN	Homo sapiens (Human)	1783	DCDC1	
O00115	DNS2A_HUMAN	Homo sapiens (Human)	360	DNASE2	DNase II family
O00116	ADAS_HUMAN	Homo sapiens (Human)	658	AGPS	FAD-binding oxidoreductase/transferase type 4 family
O00124	UBXN8_HUMAN	Homo sapiens (Human)	270	UBXN8	
O00139	KIF2A_HUMAN	Homo sapiens (Human)	706	KIF2A	TRAFAC class myosin-kinesin ATPase superfamily
O00141	SGK1_HUMAN	Homo sapiens (Human)	431	SGK1	Protein kinase superfamily
O00142	KITM_HUMAN	Homo sapiens (Human)	265	TK2	DCK/DGK family
O00144	FZD9_HUMAN	Homo sapiens (Human)	591	FZD9	G-protein coupled receptor Fz/Smo family
O00148	DX39A_HUMAN	Homo sapiens (Human)	427	DDX39A	DEAD box helicase family
O00151	PDLI1_HUMAN	Homo sapiens (Human)	329	PDLIM1	
O00154	BACH_HUMAN	Homo sapiens (Human)	380	ACOT7	
O00155	GPR25_HUMAN	Homo sapiens (Human)	361	GPR25	G-protein coupled receptor 1 family
O00159	MYO1C_HUMAN	Homo sapiens (Human)	1063	MYO1C	TRAFAC class myosin-kinesin ATPase superfamily
O00160	MYO1F_HUMAN	Homo sapiens (Human)	1098	MYO1F	TRAFAC class myosin-kinesin ATPase superfamily
O00161	SNP23_HUMAN	Homo sapiens (Human)	211	SNAP23	SNAP-25 family
O00165	HAX1_HUMAN	Homo sapiens (Human)	279	HAX1	HAX1 family
O00167	EYA2_HUMAN	Homo sapiens (Human)	538	EYA2	HAD-like hydrolase superfamily
O00168	PLM_HUMAN	Homo sapiens (Human)	92	FXYD1	FXYD family
O00170	AIP_HUMAN	Homo sapiens (Human)	330	AIP	
O00175	CCL24_HUMAN	Homo sapiens (Human)	119	CCL24	Intercrine beta (chemokine CC) family
O00180	KCNK1_HUMAN	Homo sapiens (Human)	336	KCNK1	Two pore domain potassium channel (TC 1.A.1.8) family
O00182	LEG9_HUMAN	Homo sapiens (Human)	355	LGALS9	
O00186	STXB3_HUMAN	Homo sapiens (Human)	592	STXBP3	STXBP/unc-18/SEC1 family
O00187	MASP2_HUMAN	Homo sapiens (Human)	686	MASP2	Peptidase S1 family
O00189	AP4M1_HUMAN	Homo sapiens (Human)	453	AP4M1	Adaptor complexes medium subunit family
O00192	ARVC_HUMAN	Homo sapiens (Human)	962	ARVCF	Beta-catenin family
O00194	RB27B_HUMAN	Homo sapiens (Human)	218	RAB27B	Small GTPase superfamily
O00198	HRK_HUMAN	Homo sapiens (Human)	91	HRK	
O00203	AP3B1_HUMAN	Homo sapiens (Human)	1094	AP3B1	Adaptor complexes large subunit family
O00204	ST2B1_HUMAN	Homo sapiens (Human)	365	SULT2B1	Sulfotransferase 1 family
O00206	TLR4_HUMAN	Homo sapiens (Human)	839	TLR4	Toll-like receptor family
O00212	RHOD_HUMAN	Homo sapiens (Human)	210	RHOD	Small GTPase superfamily
O00213	APBB1_HUMAN	Homo sapiens (Human)	710	APBB1	
O00214	LEG8_HUMAN	Homo sapiens (Human)	317	LGALS8	
O00217	NDUS8_HUMAN	Homo sapiens (Human)	210	NDUFS8	Complex I 23 kDa subunit family
O00219	HYAS3_HUMAN	Homo sapiens (Human)	553	HAS3	NodC/HAS family
O00220	TR10A_HUMAN	Homo sapiens (Human)	468	TNFRSF10A	
O00221	IKBE_HUMAN	Homo sapiens (Human)	500	NFKBIE	NF-kappa-B inhibitor family
O00222	GRM8_HUMAN	Homo sapiens (Human)	908	GRM8	G-protein coupled receptor 3 family
O00230	CORT_HUMAN	Homo sapiens (Human)	105	CORT	Somatostatin family
O00231	PSD11_HUMAN	Homo sapiens (Human)	422	PSMD11	Proteasome subunit S9 family
O00232	PSD12_HUMAN	Homo sapiens (Human)	456	PSMD12	Proteasome subunit p55 family
O00233	PSMD9_HUMAN	Homo sapiens (Human)	223	PSMD9	Proteasome subunit p27 family
O00237	RN103_HUMAN	Homo sapiens (Human)	685	RNF103	
O00238	BMR1B_HUMAN	Homo sapiens (Human)	502	BMPR1B	Protein kinase superfamily
O00241	SIRB1_HUMAN	Homo sapiens (Human)	398	SIRPB1	
O00244	ATOX1_HUMAN	Homo sapiens (Human)	68	ATOX1	ATX1 family
O00253	AGRP_HUMAN	Homo sapiens (Human)	132	AGRP	
O00254	PAR3_HUMAN	Homo sapiens (Human)	374	F2RL2	G-protein coupled receptor 1 family
O00255	MEN1_HUMAN	Homo sapiens (Human)	615	MEN1	
O00257	CBX4_HUMAN	Homo sapiens (Human)	560	CBX4	
O00258	GET1_HUMAN	Homo sapiens (Human)	174	GET1	WRB/GET1 family
O00264	PGRC1_HUMAN	Homo sapiens (Human)	195	PGRMC1	Cytochrome b5 family
O00267	SPT5H_HUMAN	Homo sapiens (Human)	1087	SUPT5H	SPT5 family
O00268	TAF4_HUMAN	Homo sapiens (Human)	1085	TAF4	TAF4 family
O00270	GPR31_HUMAN	Homo sapiens (Human)	319	GPR31	G-protein coupled receptor 1 family
O00273	DFFA_HUMAN	Homo sapiens (Human)	331	DFFA	
O00287	RFXAP_HUMAN	Homo sapiens (Human)	272	RFXAP	
O00291	HIP1_HUMAN	Homo sapiens (Human)	1037	HIP1	SLA2 family
O00292	LFTY2_HUMAN	Homo sapiens (Human)	366	LEFTY2	TGF-beta family
O00294	TULP1_HUMAN	Homo sapiens (Human)	542	TULP1	TUB family
O00299	CLIC1_HUMAN	Homo sapiens (Human)	241	CLIC1	Chloride channel CLIC family
O00300	TR11B_HUMAN	Homo sapiens (Human)	401	TNFRSF11B	
O00303	EIF3F_HUMAN	Homo sapiens (Human)	357	EIF3F	EIF-3 subunit F family
O00305	CACB4_HUMAN	Homo sapiens (Human)	520	CACNB4	Calcium channel beta subunit family
O00308	WWP2_HUMAN	Homo sapiens (Human)	870	WWP2	
O00311	CDC7_HUMAN	Homo sapiens (Human)	574	CDC7	Protein kinase superfamily
O00322	UPK1A_HUMAN	Homo sapiens (Human)	258	UPK1A	Tetraspanin (TM4SF) family
O00327	BMAL1_HUMAN	Homo sapiens (Human)	626	BMAL1	
O00329	PK3CD_HUMAN	Homo sapiens (Human)	1044	PIK3CD	PI3/PI4-kinase family
O00330	ODPX_HUMAN	Homo sapiens (Human)	501	PDHX	2-oxoacid dehydrogenase family
O00337	S28A1_HUMAN	Homo sapiens (Human)	649	SLC28A1	Concentrative nucleoside transporter (CNT) (TC 2.A.41) family
O00338	ST1C2_HUMAN	Homo sapiens (Human)	296	SULT1C2	Sulfotransferase 1 family
O00339	MATN2_HUMAN	Homo sapiens (Human)	956	MATN2	
O00341	EAA5_HUMAN	Homo sapiens (Human)	560	SLC1A7	Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family
O00358	FOXE1_HUMAN	Homo sapiens (Human)	373	FOXE1	
O00370	LORF2_HUMAN	Homo sapiens (Human)	1275		
O00391	QSOX1_HUMAN	Homo sapiens (Human)	747	QSOX1	Quiescin-sulfhydryl oxidase (QSOX) family
O00400	ACATN_HUMAN	Homo sapiens (Human)	549	SLC33A1	SLC33A transporter family
O00401	WASL_HUMAN	Homo sapiens (Human)	505	WASL	
O00408	PDE2A_HUMAN	Homo sapiens (Human)	941	PDE2A	Cyclic nucleotide phosphodiesterase family
O00409	FOXN3_HUMAN	Homo sapiens (Human)	490	FOXN3	
O00410	IPO5_HUMAN	Homo sapiens (Human)	1097	IPO5	Importin beta family
O00411	RPOM_HUMAN	Homo sapiens (Human)	1230	POLRMT	Phage and mitochondrial RNA polymerase family
O00418	EF2K_HUMAN	Homo sapiens (Human)	725	EEF2K	Protein kinase superfamily
O00421	CCRL2_HUMAN	Homo sapiens (Human)	344	CCRL2	G-protein coupled receptor 1 family
O00422	SAP18_HUMAN	Homo sapiens (Human)	153	SAP18	SAP18 family
O00423	EMAL1_HUMAN	Homo sapiens (Human)	815	EML1	WD repeat EMAP family
O00425	IF2B3_HUMAN	Homo sapiens (Human)	579	IGF2BP3	RRM IMP/VICKZ family
O00429	DNM1L_HUMAN	Homo sapiens (Human)	736	DNM1L	TRAFAC class dynamin-like GTPase superfamily
O00442	RTCA_HUMAN	Homo sapiens (Human)	366	RTCA	RNA 3'-terminal cyclase family
O00443	P3C2A_HUMAN	Homo sapiens (Human)	1686	PIK3C2A	PI3/PI4-kinase family
O00444	PLK4_HUMAN	Homo sapiens (Human)	970	PLK4	Protein kinase superfamily
O00445	SYT5_HUMAN	Homo sapiens (Human)	386	SYT5	Synaptotagmin family
O00451	GFRA2_HUMAN	Homo sapiens (Human)	464	GFRA2	GDNFR family
O00453	LST1_HUMAN	Homo sapiens (Human)	97	LST1	LST1 family
O00459	P85B_HUMAN	Homo sapiens (Human)	728	PIK3R2	PI3K p85 subunit family
O00461	GOLI4_HUMAN	Homo sapiens (Human)	696	GOLIM4	GOLIM4 family
O00462	MANBA_HUMAN	Homo sapiens (Human)	879	MANBA	Glycosyl hydrolase 2 family
O00463	TRAF5_HUMAN	Homo sapiens (Human)	557	TRAF5	TNF receptor-associated factor family
O00468	AGRIN_HUMAN	Homo sapiens (Human)	2068	AGRN	
O00469	PLOD2_HUMAN	Homo sapiens (Human)	737	PLOD2	
O00470	MEIS1_HUMAN	Homo sapiens (Human)	390	MEIS1	TALE/MEIS homeobox family
O00471	EXOC5_HUMAN	Homo sapiens (Human)	708	EXOC5	SEC10 family
O00472	ELL2_HUMAN	Homo sapiens (Human)	640	ELL2	ELL/occludin family
O00476	NPT4_HUMAN	Homo sapiens (Human)	420	SLC17A3	Major facilitator superfamily
O00478	BT3A3_HUMAN	Homo sapiens (Human)	584	BTN3A3	Immunoglobulin superfamily
O00481	BT3A1_HUMAN	Homo sapiens (Human)	513	BTN3A1	Immunoglobulin superfamily
O00482	NR5A2_HUMAN	Homo sapiens (Human)	541	NR5A2	Nuclear hormone receptor family
O00483	NDUA4_HUMAN	Homo sapiens (Human)	81	NDUFA4	Complex IV NDUFA4 subunit family
O00487	PSDE_HUMAN	Homo sapiens (Human)	310	PSMD14	Peptidase M67A family
O00488	ZN593_HUMAN	Homo sapiens (Human)	134	ZNF593	ZNF593/BUD20 C2H2-type zinc-finger protein family
O00499	BIN1_HUMAN	Homo sapiens (Human)	593	BIN1	
O00501	CLD5_HUMAN	Homo sapiens (Human)	218	CLDN5	Claudin family
O00505	IMA4_HUMAN	Homo sapiens (Human)	521	KPNA3	Importin alpha family
O00506	STK25_HUMAN	Homo sapiens (Human)	426	STK25	Protein kinase superfamily
